TradeId,AccountCode,SecurityId,TradeDate,SettleDate,Direction,Quantity,Price,NetAmount,Currency,Status,Counterparty
TRD-001,ACC-1001,ISIN-US1234567890,2026-03-24,2026-03-26,BUY,1000,102.50,102500.00,USD,SETTLED,CP-ALPHA
TRD-002,ACC-1002,ISIN-GB0987654321,2026-03-24,2026-03-26,SELL,500,98.75,49375.00,GBP,SETTLED,CP-BRAVO
TRD-003,ACC-1001,ISIN-DE1122334455,2026-03-24,2026-03-27,BUY,2000,55.20,110400.00,EUR,PENDING,CP-CHARLIE
TRD-004,ACC-1003,ISIN-US1234567890,2026-03-25,2026-03-27,SELL,750,103.00,77250.00,USD,SETTLED,CP-ALPHA
TRD-005,ACC-1002,ISIN-JP9988776655,2026-03-25,2026-03-28,BUY,3000,12.40,37200.00,JPY,SETTLED,CP-DELTA
TRD-006,ACC-1004,ISIN-FR5566778899,2026-03-25,2026-03-27,BUY,1200,76.30,91560.00,EUR,FAILED,CP-ECHO
TRD-007,ACC-1001,ISIN-GB0987654321,2026-03-26,2026-03-28,SELL,400,99.10,39640.00,GBP,SETTLED,CP-BRAVO
TRD-008,ACC-1003,ISIN-DE1122334455,2026-03-26,2026-03-28,BUY,600,55.60,33360.00,EUR,SETTLED,CP-CHARLIE
TRD-009,ACC-1002,ISIN-US1234567890,2026-03-26,2026-03-28,BUY,900,103.25,92925.00,USD,PENDING,CP-ALPHA
TRD-010,ACC-1004,ISIN-JP9988776655,2026-03-27,2026-03-31,SELL,1500,12.55,18825.00,JPY,SETTLED,CP-DELTA
TRD-011,ACC-1001,ISIN-FR5566778899,2026-03-27,2026-03-31,BUY,800,76.80,61440.00,EUR,SETTLED,CP-ECHO
TRD-012,ACC-1003,ISIN-US1234567890,2026-03-27,2026-03-31,SELL,250,102.90,25725.00,USD,SETTLED,CP-ALPHA
TRD-013,ACC-1002,ISIN-DE1122334455,2026-03-28,2026-04-01,BUY,1100,55.00,60500.00,EUR,PENDING,CP-CHARLIE
TRD-014,ACC-1004,ISIN-GB0987654321,2026-03-28,2026-04-01,SELL,700,98.50,68950.00,GBP,SETTLED,CP-BRAVO
TRD-015,ACC-1001,ISIN-JP9988776655,2026-03-28,2026-04-01,BUY,5000,12.30,61500.00,JPY,SETTLED,CP-DELTA
