ReconRef,Account,ISIN,ValueDate,BookingDate,Side,Units,UnitPrice,BookedAmount,Ccy,SettlementStatus,CptyCode
REC-001,ACC-1001,ISIN-US1234567890,2026-03-26,2026-03-24,B,1000,102.50,102500.00,USD,STL,CP-ALPHA
REC-002,ACC-1002,ISIN-GB0987654321,2026-03-26,2026-03-24,S,500,98.75,49375.00,GBP,STL,CP-BRAVO
REC-003,ACC-1001,ISIN-DE1122334455,2026-03-27,2026-03-24,B,2000,55.20,110400.00,EUR,PND,CP-CHARLIE
REC-004,ACC-1003,ISIN-US1234567890,2026-03-27,2026-03-25,S,750,103.00,77250.00,USD,STL,CP-ALPHA
REC-005,ACC-1002,ISIN-JP9988776655,2026-03-28,2026-03-25,B,3000,12.40,37200.00,JPY,STL,CP-DELTA
REC-006,ACC-1004,ISIN-FR5566778899,2026-03-27,2026-03-25,B,1200,76.30,91560.00,EUR,FAIL,CP-ECHO
REC-007,ACC-1001,ISIN-GB0987654321,2026-03-28,2026-03-26,S,400,99.10,39640.00,GBP,STL,CP-BRAVO
REC-008,ACC-1003,ISIN-DE1122334455,2026-03-28,2026-03-26,B,600,55.60,33360.00,EUR,STL,CP-CHARLIE
REC-009,ACC-1002,ISIN-US1234567890,2026-03-28,2026-03-26,B,900,103.25,92925.00,USD,PND,CP-ALPHA
REC-010,ACC-1004,ISIN-JP9988776655,2026-03-31,2026-03-27,S,1500,12.55,18825.00,JPY,STL,CP-DELTA
REC-011,ACC-1001,ISIN-FR5566778899,2026-03-31,2026-03-27,B,800,76.80,61440.00,EUR,STL,CP-ECHO
REC-012,ACC-1003,ISIN-US1234567890,2026-03-31,2026-03-27,S,250,102.90,25725.00,USD,STL,CP-ALPHA
REC-013,ACC-1002,ISIN-DE1122334455,2026-04-01,2026-03-28,B,1100,55.00,60500.00,EUR,PND,CP-CHARLIE
REC-014,ACC-1004,ISIN-GB0987654321,2026-04-01,2026-03-28,S,700,98.50,68950.00,GBP,STL,CP-BRAVO
REC-015,ACC-1001,ISIN-JP9988776655,2026-04-01,2026-03-28,B,5000,12.30,61500.00,JPY,STL,CP-DELTA
